Model,N. of Trees,Binary Logloss,Binary Err Rate,Roc Auc,Binary Logloss Under Max Attack,Binary Err Rate Under Max Attack,Roc Auc Under Max Attack
Non-Interferent,0,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,10,0.5123428756664367,0.2253652058432935,0.8925435620479635,0.5161943917728538,0.2302124833997344,0.8772401860487247
Non-Interferent,20,0.4476666244698907,0.17636122177954847,0.8963257042253521,0.4554677095889049,0.18379814077025233,0.8800417420060906
Non-Interferent,30,0.3993368695183095,0.1541832669322709,0.8998172106966121,0.4113997672400344,0.16334661354581673,0.8820408141416064
Non-Interferent,40,0.3705459534450505,0.15219123505976095,0.9018357560905976,0.38545887664050105,0.16228419654714477,0.8843620574800153
Non-Interferent,50,0.3552614303762558,0.150265604249668,0.9031433312714123,0.3726465681489985,0.16122177954847278,0.8849063094784926
Non-Interferent,60,0.3437585100756798,0.150332005312085,0.9046471497906357,0.3630685511541484,0.16235059760956175,0.8863971022078416
Non-Interferent,70,0.33476233749342205,0.14827357237715805,0.9058967096497905,0.3581664113649119,0.16308100929614874,0.8858760230300724
Non-Interferent,80,0.32846734735936245,0.14628154050464806,0.9071143057670346,0.3550773170766561,0.16387782204515272,0.8856236676817663
Non-Interferent,90,0.32422315620054504,0.1454183266932271,0.9077666420822231,0.3524528981403788,0.16367861885790172,0.8860359725923106
Non-Interferent,100,0.32106097181944165,0.1445551128818061,0.9085117529501332,0.3517669285063051,0.1650066401062417,0.8855146079177769
Non-Interferent,110,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,120,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,130,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,140,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,150,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,160,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,170,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,180,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,190,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Non-Interferent,200,0.3205473674103172,0.1443559096945551,0.908650361629235,0.3512984411113862,0.1650066401062417,0.8857336315188429
Baseline (p=1.0; n=1),0,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),10,0.4340750113464521,0.18592297476759628,0.8428377664636468,0.4424293236689668,0.18818061088977422,0.8319972996764371
Baseline (p=1.0; n=1),20,0.393117592058238,0.1748339973439575,0.8718734654548916,0.5215234469406241,0.22901726427622843,0.7682766701560715
Baseline (p=1.0; n=1),30,0.35407580226916685,0.16407702523240372,0.8859070232204036,0.4730100380140946,0.2192563081009296,0.8017409473734297
Baseline (p=1.0; n=1),40,0.34027497690869296,0.15776892430278885,0.8941583674343356,0.44742774178128997,0.2106241699867198,0.8179917681766273
Baseline (p=1.0; n=1),50,0.33278830490006306,0.15458167330677292,0.8984507755995432,0.43943605305597566,0.20856573705179282,0.8228633303197563
Baseline (p=1.0; n=1),60,0.32640206372605274,0.15318725099601593,0.9020474876284736,0.43536756342904165,0.20670650730411685,0.8263091335173202
Baseline (p=1.0; n=1),70,0.32144542558512,0.15106241699867198,0.9049942900647127,0.4431552037310117,0.2147410358565737,0.8207620622382946
Baseline (p=1.0; n=1),80,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),90,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),100,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),110,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),120,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),130,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),140,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),150,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),160,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),170,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
Baseline (p=1.0; n=1),180,0.32038518153252094,0.15066401062416998,0.9055881709173963,0.4395355985463031,0.21394422310756972,0.8235144413779977
